Mã hàng,Mã vạch,Tên hàng,ĐVT,Parent_SKU
HPKAQU1001,497655585824007,Áo yếm sọc thêu hoạt hình,Cái,
HPKAQU1001-01,497655585823131,Áo yếm sọc thêu hoạt hình size 01,Cái,
HPKAQU1001-0S,497655585823130,Áo yếm sọc thêu hoạt hình size S,Cái,
HPKAQU1002,497655585824006,Áo sọc tai thỏ,Cái,
HPKAQU1002-01,497655585823233,Áo sọc tai thỏ size 01,Cái,
HPKAQU1002-03,497655585823230,Áo sọc tai thỏ size 03,Cái,
HPKAQU1002-07,497655585823231,Áo sọc tai thỏ size 07,Cái,
HPKAQU1002-0S,497655585823232,Áo sọc tai thỏ size S,Cái,
HPKAQU1003,497655585824005,Áo Red Panda,Cái,
HPKAQU1003-01,497655585823132,Áo Red Panda size 01,Cái,
HPKAQU1003-04,497655585823227,Áo Red Panda size 04,Cái,
HPKAQU1003-06,497655585823228,Áo Red Panda size 06,Cái,
HPKAQU1003-07,497655585823229,Áo Red Panda size 07,Cái,
HPKAQU1003-0S,497655585823226,Áo Red Panda size S,Cái,
HPKAQU1004,497655585824004,Áo kẻ sọc Bear,Cái,
HPKAQU1004-00,497655585824086,Áo kẻ sọc Bear size 00,Cái,
HPKAQU1004-01,497655585823234,Áo kẻ sọc Bear size 01,Cái,
HPKAQU1004-02,497655585824085,Áo kẻ sọc Bear size 02,Cái,
HPKAQU1004-03,497655585824238,Áo kẻ sọc Bear size 03,Cái,
HPKAQU1004-04,497655585823235,Áo kẻ sọc Bear size 04,Cái,
HPKAQU1004-05,497655585823238,Áo kẻ sọc Bear size 05,Cái,
HPKAQU1004-06,497655585823239,Áo kẻ sọc Bear size 06,Cái,
HPKAQU1004-07,497655585823240,Áo kẻ sọc Bear size 07,Cái,
HPKAQU1004-08,497655585824087,Áo kẻ sọc Bear size 08,Cái,
HPKAQU1004-09,497655585824088,Áo kẻ sọc Bear size 09,Cái,
HPKAQU1004-10,497655585824089,Áo kẻ sọc Bear size 10,Cái,
HPKAQU1004-11,497655585823241,Áo kẻ sọc Bear size 11,Cái,
HPKAQU1004-12,497655585824090,Áo kẻ sọc Bear size 12,Cái,
HPKAQU1004-13,497655585824091,Áo kẻ sọc Bear size 13,Cái,
HPKAQU1004-14,497655585824092,Áo kẻ sọc Bear size 14,Cái,
HPKAQU1004-15,497655585824239,Áo kẻ sọc Bear size 15,Cái,
HPKAQU1005,497655585824003,Áo Cute Rabbit,Cái,
HPKAQU1005-01,497655585823242,Áo Cute Rabbit size 01,Cái,
HPKAQU1005-03,497655585823243,Áo Cute Rabbit size 03,Cái,
HPKAQU1005-05,497655585823244,Áo Cute Rabbit size 05,Cái,
HPKAQU1005-06,497655585823245,Áo Cute Rabbit size 06,Cái,
HPKAQU1005-07,497655585823246,Áo Cute Rabbit size 07,Cái,
HPKAQU1005-09,497655585823247,Áo Cute Rabbit size 09,Cái,
HVSXXX1001,8809644818291,"Kem đánh răng cho chó mèo Signatureby StomoAct BEO Toothpaste, 90g/hộp",Hộp,
HVTCON0000,497655585824029,Cồn 70,Lít,
HVTGIN0000,497655585823313,Giấy in nhiệt dùng cho máy Vetube,Cuộn,
MHCTKM1001,8850477025165,Me-O Senior Cat Mackerel Flavour - 400g ( 18 x 1 / Carton ),Gói,
