"Mã nhóm / tiền tố","Tình trạng","Ngành suy ra","Nhóm hàng","Số mã","Mã ví dụ","Tên ví dụ"
"TTP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","TT","Hàng hóa","369","TTP1009 | TTP1010 | TTP1011 | TTP1012 | TTP1013","Áo kẻ sọc Bear size S | Áo kẻ sọc Bear size 1 | Áo kẻ sọc Bear size 2 | Áo kẻ sọc Bear size 3 | Áo kẻ sọc Bear size 4"
"PKP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","124","PKP1028 | PKP1029 | PKP1030 | PKP1033 | PKP1034","Khớp si X khóa gài nhỏ | Khớp si X khóa gài trung | Khớp si X khóa gài lớn | Khớp mõm nhựa 1 | Khớp mõm nhựa 2"
"NCP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","82","NCP1001 | NCP1002 | NCP1003 | NCP1004 | NCP1005","Thảm nệm tròn size 45cm | Thảm nệm tròn size 60cm | Ổ nệm tròn 16cm*45cm | Nệm vuông size 1 (45*35) | THẢM LÔNG CN1 L"
"DCP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","DC","Hàng hóa","77","DCP1013 | DCP1014 | DCP1015 | DCP1016 | DCP1017","Khúc xương nhựa | Đồ chơi thú bông cho chó hình con thỏ Fofos - DCF18879 | Đồ chơi thú bông cho chó hình con gấu Fofos - DCF18880 | Đồ chơi thú bông cho chó hình con sư tử Fofos - DCF18881 | Đồ chơi thú bông cho chó hình con khỉ Fofos - DCF18882"
"TGV","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","YT","Thuốc","42","TGV2001 | TGV2002 | TGV2003 | TGV2004 | TGV2017","ENDOGARD 10 | NOMECTO 45 MG_Viên nhai mềm (HỘP 1 VIÊN) | NOMECTO 100 MG_Viên nhai mềm (HỘP 1 VIÊN | NOMECTO 200 MG_Viên nhai mềm (HỘP 1 VIÊN | MILPRO 2.5MG/25MG"
"PTT","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","TA","Hàng hóa","42","PTT1001 | PTT1002 | PTT1003 | PTT1004 | PTT1005","PATE CÁ COLLAGEN HỘP 500GR | PATE GÀ CÁ HỘP 500GR | PATE GÀ COLLAGEN HỘP 500GR | PATE CÁ NƯỚC NGỌT | PATE CÁ SABA"
"VCP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","35","VCP1006 | VCP1007 | VCP1014 | VCP1015 | VCP1016","Vòng cổ Elizabeth 5 | Vòng cổ Elizabeth 6 | Vòng cổ Elizabeth 1 | Vòng cổ Elizabeth 2 | Vòng cổ Elizabeth 3"
"DYP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","24","DYP1001 | DYP1004 | DYP1005 | DYP1006 | DYP1007","Dắt yếm hoa văn nhỏ (Chuông) | Dắt yếm hoa văn trung (vỉ lẻ) (chuông) | Dắt yếm hoa văn lớn (vỉ lẻ) (chuông) | Dây yếm Lucky size 2.5cm | Dây yếm Lucky size 2.0cm"
"VSP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","VS","Hàng hóa","11","VSP1005 | VSP1001 | VSP1002 | VSP1003 | VSP1004","Giảm hôi miệng cho chó 8Oz-DF Dog Orig | Dung dịch vệ sinh 80ml- good pp | Dung dịch rửa tai 100ml- good ears | DUNG DỊCH VỆ SINH TAI PRUNUS AROMA EAR CLEANSER 120ML | Làm sạch răng 8Oz-DF Plaque & Tartar"
"ĐT","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","DV","Dịch vụ","10","ĐT001 | ĐT002 | ĐT003 | ĐT004 | ĐT005","DV Khám, chữa bệnh | Siêu âm | DV tiêm phòng (DẠI) | DV Phẫu thuật | Lưu bệnh dưới 3Kg"
"GR","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","DV","Dịch vụ","10","GR001 | GR002 | GR003 | GR004 | GR005","DV Combo Tắm + Cắt | DV Combo Tắm + Cạo | DV Tắm | DV Cắt lông | DV Cạo lông"
"DDP","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","10","DDP1001 | DDP1003 | DDP1004 | DDP1005 | DDP1006","Dắt dù hoa văn nhỏ (Chuông) | Dắt dù hoa văn lớn (Chuông) | Dắt dù hoa văn trung (vỉ lẻ) (chuông) | Bộ dây dắt + vòng cổ Police 1 lớp nhỏ | Bộ dây dắt + vòng cổ Police 1 lớp trung"
"DXC","Mã ngắn mới — tạm ánh xạ, cần đưa vào Quy_tac_HV","PK","Hàng hóa","10","DXC1001 | DXC1002 | DXC1003 | DXC1004 | DXC1005","Xích inox bé 2 móc | Xích inox nhỏ 2 móc | Xích inox trung 2 móc | Xích inox vuông 2ly 2 móc | Xích inox vuông 3ly 2 móc"
